Proper polygon specified: -150,-75:-150,-400:400,-400:400,-75
hazard = x=-10,y=-293,type=benign,label=299,hr=0.49985,hazard=false
hazard = x=-90,y=-315,type=benign,label=779,hr=0.6561,hazard=false
hazard = x=204,y=-257,type=benign,label=243,hr=0.38564,hazard=false
hazard = x=251,y=-226,type=benign,label=338,hr=0.6432,hazard=false
hazard = x=-106,y=-87,type=benign,label=629,hr=0.13396,hazard=false
hazard = x=88,y=-386,type=benign,label=374,hr=0.17556,hazard=false
hazard = x=209,y=-304,type=benign,label=893,hr=0.8118,hazard=false
hazard = x=330,y=-228,type=benign,label=634,hr=0.19184,hazard=false
hazard = x=250,y=-338,type=benign,label=722,hr=0.38938,hazard=false
hazard = x=37,y=-142,type=benign,label=279,hr=0.05198,hazard=false
hazard = x=-28,y=-267,type=benign,label=154,hr=0.00325,hazard=false
hazard = x=152,y=-337,type=benign,label=497,hr=0.67568,hazard=false
hazard = x=154,y=-244,type=benign,label=834,hr=0.14669,hazard=false
hazard = x=-107,y=-251,type=benign,label=597,hr=0.33293,hazard=false
hazard = x=-150,y=-115,type=benign,label=307,hr=0.03312,hazard=false
hazard = x=113,y=-259,type=benign,label=480,hr=0.00202,hazard=false
hazard = x=275,y=-130,type=benign,label=451,hr=0.00058,hazard=false
hazard = x=-97,y=-294,type=benign,label=844,hr=0.4914,hazard=false
hazard = x=210,y=-154,type=benign,label=370,hr=0.21068,hazard=false
hazard = x=-11,y=-211,type=benign,label=817,hr=0.91585,hazard=false
hazard = x=203,y=-196,type=benign,label=113,hr=0.08526,hazard=false
hazard = x=247,y=-184,type=benign,label=753,hr=0.6084,hazard=false
hazard = x=318,y=-304,type=benign,label=439,hr=0.33062,hazard=false
hazard = x=118,y=-327,type=benign,label=631,hr=0.59753,hazard=false
hazard = x=141,y=-188,type=benign,label=660,hr=0.38069,hazard=false
hazard = x=25,y=-269,type=benign,label=883,hr=0.78323,hazard=false
hazard = x=251,y=-232,type=benign,label=190,hr=0.01538,hazard=false
hazard = x=181,y=-227,type=benign,label=495,hr=0.05954,hazard=false
hazard = x=-40,y=-276,type=benign,label=961,hr=0.77616,hazard=false
hazard = x=108,y=-207,type=benign,label=843,hr=0.8118,hazard=false
hazard = x=170,y=-384,type=benign,label=475,hr=0.51122,hazard=false
hazard = x=-72,y=-362,type=benign,label=421,hr=0.03422,hazard=false
hazard = x=265,y=-207,type=benign,label=349,hr=0.60218,hazard=false
hazard = x=204,y=-97,type=benign,label=462,hr=0.08468,hazard=false
hazard = x=337,y=-246,type=benign,label=316,hr=0.14822,hazard=false
hazard = x=138,y=-296,type=benign,label=159,hr=0.0081,hazard=false
hazard = x=220,y=-204,type=benign,label=363,hr=0.13104,hazard=false
hazard = x=24,y=-348,type=benign,label=529,hr=0.74132,hazard=false
hazard = x=171,y=-271,type=benign,label=824,hr=0.14822,hazard=false
hazard = x=201,y=-130,type=benign,label=963,hr=0.4238,hazard=false
hazard = x=358,y=-207,type=benign,label=163,hr=0.5098,hazard=false
hazard = x=279,y=-362,type=benign,label=781,hr=0.25705,hazard=false
hazard = x=233,y=-133,type=benign,label=512,hr=0.94868,hazard=false
hazard = x=80,y=-384,type=benign,label=995,hr=0.92544,hazard=false
hazard = x=42,y=-303,type=benign,label=423,hr=0.10824,hazard=false
hazard = x=-50,y=-280,type=benign,label=288,hr=0.03312,hazard=false
hazard = x=199,y=-225,type=benign,label=117,hr=0.6561,hazard=false
hazard = x=373,y=-119,type=benign,label=532,hr=0.8136,hazard=false
hazard = x=25,y=-146,type=benign,label=977,hr=0.00656,hazard=false
hazard = x=291,y=-215,type=benign,label=849,hr=0.99401,hazard=false
hazard = x=81,y=-267,type=benign,label=896,hr=0.88925,hazard=false
hazard = x=-61,y=-345,type=benign,label=746,hr=0.86862,hazard=false
hazard = x=-25,y=-308,type=benign,label=894,hr=0.13469,hazard=false
hazard = x=-49,y=-254,type=benign,label=664,hr=0.12602,hazard=false
hazard = x=345,y=-224,type=benign,label=223,hr=0.15524,hazard=false
hazard = x=-148,y=-384,type=benign,label=674,hr=0.1714,hazard=false
hazard = x=-13,y=-377,type=benign,label=758,hr=0.21716,hazard=false
hazard = x=255,y=-162,type=benign,label=106,hr=0.1849,hazard=false
hazard = x=48,y=-268,type=benign,label=869,hr=0.86118,hazard=false
hazard = x=-77,y=-171,type=benign,label=380,hr=0.48164,hazard=false
hazard = x=67,y=-396,type=benign,label=189,hr=0.9293,hazard=false
hazard = x=72,y=-225,type=benign,label=699,hr=0.8354,hazard=false
hazard = x=-133,y=-102,type=benign,label=323,hr=0.0024,hazard=false
hazard = x=151,y=-277,type=benign,label=619,hr=0.05954,hazard=false
hazard = x=160,y=-392,type=benign,label=737,hr=0.13542,hazard=false
hazard = x=-63,y=-98,type=benign,label=599,hr=0.4928,hazard=false
hazard = x=42,y=-298,type=benign,label=918,hr=0.00017,hazard=false
hazard = x=59,y=-134,type=benign,label=234,hr=0.63521,hazard=false
hazard = x=213,y=-272,type=benign,label=131,hr=0.23912,hazard=false
hazard = x=223,y=-278,type=benign,label=628,hr=0.57608,hazard=false
hazard = x=317,y=-179,type=benign,label=100,hr=0.06502,hazard=false
hazard = x=-124,y=-137,type=benign,label=594,hr=0.05905,hazard=false
hazard = x=71,y=-315,type=benign,label=580,hr=0.00792,hazard=false
hazard = x=-84,y=-124,type=benign,label=695,hr=0.02161,hazard=false
hazard = x=333,y=-383,type=benign,label=791,hr=0.80282,hazard=false
hazard = x=-150,y=-188,type=benign,label=650,hr=0.04796,hazard=false
hazard = x=76,y=-166,type=benign,label=491,hr=0.83906,hazard=false
hazard = x=-138,y=-310,type=benign,label=326,hr=0.53436,hazard=false
hazard = x=30,y=-255,type=benign,label=514,hr=0.9409,hazard=false
hazard = x=31,y=-387,type=benign,label=868,hr=0.48025,hazard=false
hazard = x=246,y=-296,type=benign,label=696,hr=0.00593,hazard=false
hazard = x=238,y=-374,type=benign,label=183,hr=0.68724,hazard=false
hazard = x=-16,y=-312,type=benign,label=670,hr=0.88172,hazard=false
hazard = x=302,y=-390,type=benign,label=541,hr=0.00096,hazard=false
hazard = x=80,y=-140,type=benign,label=474,hr=0.01638,hazard=false
hazard = x=187,y=-364,type=benign,label=546,hr=0.2873,hazard=false
hazard = x=-115,y=-371,type=benign,label=410,hr=0.00012,hazard=false
hazard = x=-126,y=-245,type=benign,label=614,hr=0.0818,hazard=false
hazard = x=-126,y=-104,type=benign,label=128,hr=0.11357,hazard=false
hazard = x=72,y=-237,type=benign,label=730,hr=0.09,hazard=false
hazard = x=-141,y=-347,type=benign,label=415,hr=0.18148,hazard=false
hazard = x=302,y=-364,type=benign,label=124,hr=0.7259,hazard=false
hazard = x=4,y=-393,type=benign,label=774,hr=0.6178,hazard=false
hazard = x=175,y=-197,type=benign,label=204,hr=0.55502,hazard=false
hazard = x=-13,y=-162,type=benign,label=408,hr=0.50552,hazard=false
hazard = x=61,y=-160,type=benign,label=476,hr=0.74823,hazard=false
hazard = x=17,y=-149,type=benign,label=769,hr=0.3025,hazard=false
hazard = x=306,y=-312,type=benign,label=941,hr=0.248,hazard=false
hazard = x=40,y=-164,type=benign,label=759,hr=0.4225,hazard=false
hazard = x=281,y=-378,type=benign,label=280,hr=0.58982,hazard=false
hazard = x=-79,y=-139,type=benign,label=330,hr=0.24404,hazard=false
hazard = x=153,y=-362,type=benign,label=991,hr=0.41861,hazard=false
hazard = x=-25,y=-266,type=benign,label=566,hr=0.12461,hazard=false
hazard = x=68,y=-111,type=benign,label=483,hr=0.5776,hazard=false
hazard = x=168,y=-243,type=benign,label=567,hr=0.43824,hazard=false
hazard = x=360,y=-135,type=benign,label=653,hr=0.00026,hazard=false
hazard = x=-92,y=-137,type=benign,label=707,hr=0.29485,hazard=false
hazard = x=28,y=-280,type=benign,label=246,hr=0.96629,hazard=false
hazard = x=-137,y=-86,type=benign,label=841,hr=0.95258,hazard=false
hazard = x=-86,y=-285,type=benign,label=859,hr=0.97417,hazard=false
hazard = x=267,y=-83,type=benign,label=270,hr=0.01588,hazard=false
hazard = x=147,y=-76,type=benign,label=857,hr=0.00518,hazard=false
hazard = x=-142,y=-369,type=benign,label=440,hr=0.9063,hazard=false
hazard = x=-84,y=-150,type=benign,label=897,hr=0.06554,hazard=false
hazard = x=104,y=-186,type=benign,label=283,hr=0.5929,hazard=false
hazard = x=24,y=-105,type=benign,label=783,hr=0.21623,hazard=false
hazard = x=123,y=-269,type=benign,label=373,hr=0.8649,hazard=false
hazard = x=355,y=-383,type=benign,label=576,hr=0.0049,hazard=false
hazard = x=324,y=-109,type=benign,label=910,hr=0.06401,hazard=false
hazard = x=-5,y=-83,type=benign,label=761,hr=0.80102,hazard=false
hazard = x=-85,y=-332,type=benign,label=302,hr=0.37946,hazard=false
hazard = x=64,y=-75,type=benign,label=192,hr=0.27144,hazard=false
hazard = x=214,y=-346,type=benign,label=570,hr=0.00068,hazard=false
hazard = x=52,y=-306,type=benign,label=147,hr=0.20794,hazard=false
hazard = x=267,y=-82,type=benign,label=378,hr=0.31248,hazard=false
hazard = x=344,y=-143,type=benign,label=698,hr=0.10112,hazard=false
hazard = x=116,y=-198,type=benign,label=794,hr=0.31697,hazard=false
hazard = x=-116,y=-88,type=benign,label=153,hr=0.03098,hazard=false
hazard = x=53,y=-221,type=benign,label=210,hr=0.01188,hazard=false
hazard = x=140,y=-231,type=benign,label=413,hr=0.23426,hazard=false
hazard = x=334,y=-258,type=benign,label=397,hr=0.62885,hazard=false
hazard = x=395,y=-173,type=benign,label=122,hr=0.8649,hazard=false
hazard = x=85,y=-125,type=benign,label=827,hr=0.48025,hazard=false
hazard = x=382,y=-190,type=benign,label=607,hr=0.63521,hazard=false
hazard = x=10,y=-183,type=benign,label=225,hr=0.25301,hazard=false
hazard = x=165,y=-399,type=benign,label=294,hr=0.25908,hazard=false
hazard = x=56,y=-268,type=benign,label=882,hr=0.01988,hazard=false
hazard = x=30,y=-268,type=benign,label=308,hr=0.28623,hazard=false
hazard = x=368,y=-199,type=benign,label=247,hr=0.00518,hazard=false
hazard = x=384,y=-331,type=benign,label=215,hr=0.49562,hazard=false
hazard = x=305,y=-203,type=benign,label=209,hr=0.01254,hazard=false
hazard = x=64,y=-200,type=benign,label=148,hr=0.03881,hazard=false
hazard = x=-29,y=-239,type=benign,label=236,hr=0.2362,hazard=false
hazard = x=374,y=-315,type=benign,label=996,hr=0.0102,hazard=false
hazard = x=-110,y=-184,type=benign,label=762,hr=0.00941,hazard=false
hazard = x=151,y=-321,type=benign,label=671,hr=0.04244,hazard=false
hazard = x=211,y=-353,type=benign,label=230,hr=0.4212,hazard=false
hazard = x=342,y=-386,type=benign,label=806,hr=0.00185,hazard=false
hazard = x=-14,y=-312,type=benign,label=705,hr=0.01166,hazard=false
hazard = x=340,y=-95,type=benign,label=347,hr=0.18062,hazard=false
hazard = x=-144,y=-222,type=benign,label=621,hr=0.03497,hazard=false
hazard = x=-12,y=-140,type=benign,label=449,hr=0.10758,hazard=false
hazard = x=75,y=-180,type=benign,label=967,hr=0.07453,hazard=false
hazard = x=362,y=-144,type=benign,label=248,hr=0.33989,hazard=false
hazard = x=115,y=-195,type=benign,label=298,hr=0.01716,hazard=false
hazard = x=280,y=-391,type=benign,label=986,hr=0.6626,hazard=false
hazard = x=-124,y=-240,type=benign,label=229,hr=0.00008,hazard=false
hazard = x=226,y=-366,type=benign,label=487,hr=0.5417,hazard=false
hazard = x=-104,y=-164,type=benign,label=720,hr=0.0529,hazard=false
hazard = x=-128,y=-201,type=benign,label=919,hr=0.03062,hazard=false
hazard = x=-106,y=-364,type=benign,label=726,hr=0.00058,hazard=false
hazard = x=-122,y=-361,type=benign,label=311,hr=0.35046,hazard=false
hazard = x=200,y=-213,type=benign,label=587,hr=0.02993,hazard=false
hazard = x=60,y=-369,type=benign,label=871,hr=0.27353,hazard=false
hazard = x=-70,y=-393,type=benign,label=891,hr=0.14516,hazard=false
hazard = x=316,y=-122,type=benign,label=950,hr=0.74477,hazard=false
hazard = x=-78,y=-165,type=benign,label=958,hr=0.15366,hazard=false
hazard = x=-79,y=-262,type=benign,label=948,hr=0.4225,hazard=false
hazard = x=78,y=-103,type=benign,label=411,hr=0.32833,hazard=false
hazard = x=247,y=-370,type=benign,label=468,hr=0.51552,hazard=false
hazard = x=290,y=-247,type=benign,label=626,hr=0.41732,hazard=false
hazard = x=78,y=-390,type=benign,label=615,hr=0.82446,hazard=false
hazard = x=-51,y=-159,type=benign,label=125,hr=0.25503,hazard=false
hazard = x=232,y=-370,type=benign,label=851,hr=0.17057,hazard=false
hazard = x=161,y=-167,type=benign,label=612,hr=0.11424,hazard=false
hazard = x=166,y=-292,type=benign,label=553,hr=0.55056,hazard=false
hazard = x=208,y=-170,type=benign,label=638,hr=0.02924,hazard=false
hazard = x=-14,y=-366,type=benign,label=145,hr=0.97417,hazard=false
hazard = x=230,y=-392,type=benign,label=911,hr=0.04666,hazard=false
hazard = x=111,y=-307,type=benign,label=381,hr=0.14138,hazard=false
hazard = x=16,y=-286,type=benign,label=217,hr=0.11834,hazard=false
hazard = x=166,y=-156,type=benign,label=118,hr=0.38192,hazard=false
hazard = x=299,y=-249,type=benign,label=787,hr=0.48302,hazard=false
hazard = x=185,y=-138,type=benign,label=811,hr=0.12461,hazard=false
hazard = x=-52,y=-367,type=benign,label=277,hr=0.60063,hazard=false
hazard = x=0,y=-211,type=benign,label=427,hr=0.36361,hazard=false
hazard = x=186,y=-151,type=benign,label=775,hr=0.06502,hazard=false
hazard = x=333,y=-275,type=benign,label=780,hr=0.50268,hazard=false
hazard = x=123,y=-282,type=benign,label=522,hr=0.71572,hazard=false
hazard = x=355,y=-89,type=benign,label=494,hr=0.75169,hazard=false
hazard = x=-24,y=-269,type=benign,label=989,hr=0.10176,hazard=false
hazard = x=307,y=-161,type=benign,label=292,hr=0.11022,hazard=false
hazard = x=-42,y=-131,type=benign,label=450,hr=0.05664,hazard=false
hazard = x=48,y=-338,type=benign,label=542,hr=0.85378,hazard=false
hazard = x=73,y=-168,type=benign,label=736,hr=0.21809,hazard=false
hazard = x=10,y=-324,type=benign,label=881,hr=0.60373,hazard=false
hazard = x=22,y=-118,type=benign,label=419,hr=0,hazard=false
hazard = x=-146,y=-170,type=benign,label=184,hr=0.12602,hazard=false
hazard = x=275,y=-253,type=benign,label=554,hr=0.19448,hazard=false
hazard = x=-78,y=-387,type=benign,label=727,hr=0.00533,hazard=false
hazard = x=367,y=-363,type=benign,label=872,hr=0.08644,hazard=false
hazard = x=316,y=-183,type=benign,label=425,hr=0.1369,hazard=false
hazard = x=212,y=-357,type=benign,label=704,hr=0.04244,hazard=false
hazard = x=-4,y=-376,type=benign,label=765,hr=0.0841,hazard=false
hazard = x=315,y=-213,type=benign,label=853,hr=0.38192,hazard=false
hazard = x=191,y=-387,type=benign,label=808,hr=0.81722,hazard=false
hazard = x=11,y=-112,type=benign,label=926,hr=0.00137,hazard=false
hazard = x=-108,y=-238,type=benign,label=481,hr=0.03028,hazard=false
hazard = x=-77,y=-113,type=benign,label=396,hr=0.65448,hazard=false
hazard = x=141,y=-305,type=benign,label=635,hr=0.2116,hazard=false
hazard = x=96,y=-317,type=benign,label=511,hr=0.62094,hazard=false
hazard = x=36,y=-126,type=benign,label=500,hr=0.43296,hazard=false
hazard = x=-148,y=-210,type=benign,label=361,hr=0.0025,hazard=false
hazard = x=178,y=-257,type=benign,label=401,hr=0,hazard=false
hazard = x=165,y=-251,type=benign,label=151,hr=0.19981,hazard=false
hazard = x=31,y=-309,type=benign,label=461,hr=0.36966,hazard=false
hazard = x=-97,y=-323,type=benign,label=731,hr=0.63521,hazard=false
hazard = x=28,y=-91,type=benign,label=463,hr=0.0049,hazard=false
hazard = x=177,y=-287,type=benign,label=711,hr=0.29376,hazard=false
hazard = x=48,y=-282,type=benign,label=398,hr=0.43428,hazard=false
hazard = x=-13,y=-107,type=benign,label=646,hr=0.1296,hazard=false
hazard = x=-4,y=-235,type=benign,label=486,hr=0.9063,hazard=false
hazard = x=135,y=-371,type=benign,label=644,hr=0.79745,hazard=false
hazard = x=-49,y=-283,type=benign,label=982,hr=0.00423,hazard=false
hazard = x=-17,y=-191,type=benign,label=747,hr=0.6989,hazard=false
hazard = x=53,y=-277,type=benign,label=458,hr=0.83723,hazard=false
hazard = x=322,y=-182,type=benign,label=412,hr=0,hazard=false
hazard = x=-80,y=-340,type=benign,label=953,hr=0.2153,hazard=false
hazard = x=-132,y=-150,type=benign,label=333,hr=0.12745,hazard=false
hazard = x=334,y=-186,type=benign,label=721,hr=0.08352,hazard=false
hazard = x=19,y=-247,type=benign,label=251,hr=0.02074,hazard=false
hazard = x=-59,y=-230,type=benign,label=353,hr=0.97812,hazard=false
hazard = x=4,y=-345,type=benign,label=341,hr=0.02993,hazard=false
hazard = x=-109,y=-263,type=benign,label=956,hr=0.93122,hazard=false
hazard = x=270,y=-187,type=benign,label=314,hr=0.43296,hazard=false
hazard = x=-97,y=-350,type=benign,label=683,hr=0.88925,hazard=false
hazard = x=222,y=-359,type=benign,label=208,hr=0.60218,hazard=false
hazard = x=-44,y=-347,type=benign,label=929,hr=0.00078,hazard=false
hazard = x=344,y=-397,type=benign,label=120,hr=0.41861,hazard=false
hazard = x=-47,y=-318,type=benign,label=838,hr=0.15054,hazard=false
hazard = x=148,y=-87,type=benign,label=579,hr=0.07182,hazard=false
hazard = x=153,y=-209,type=benign,label=757,hr=0.51984,hazard=false
hazard = x=344,y=-319,type=benign,label=262,hr=0.19536,hazard=false
hazard = x=241,y=-181,type=benign,label=998,hr=0.6561,hazard=false
hazard = x=186,y=-230,type=benign,label=194,hr=0.76038,hazard=false
hazard = x=208,y=-367,type=benign,label=416,hr=0.6889,hazard=false
hazard = x=263,y=-99,type=benign,label=916,hr=0.39313,hazard=false
hazard = x=116,y=-143,type=benign,label=429,hr=0.00922,hazard=false
hazard = x=167,y=-217,type=benign,label=581,hr=0.0361,hazard=false
hazard = x=-81,y=-77,type=benign,label=291,hr=0.53876,hazard=false
hazard = x=129,y=-225,type=benign,label=110,hr=0.44489,hazard=false
hazard = x=275,y=-378,type=benign,label=861,hr=0.00014,hazard=false
hazard = x=-9,y=-397,type=benign,label=571,hr=0.43692,hazard=false
hazard = x=71,y=-300,type=benign,label=469,hr=0.88172,hazard=false
hazard = x=93,y=-295,type=benign,label=206,hr=0.62094,hazard=false
